Name,Location,Year,Medal,Nationality,Result
Usain BOLT,Rio,2016,1,JAM,9.81
Justin GATLIN,Rio,2016,2,USA,9.89
Andre DE GRASSE,Rio,2016,3,CAN,9.91
Usain BOLT,London,2012,1,JAM,9.63
Yohan BLAKE,London,2012,2,JAM,9.75
Justin GATLIN,London,2012,3,USA,9.79
Usain BOLT,Beijing,2008,1,JAM,9.69
Richard THOMPSON,Beijing,2008,2,TTO,9.89
Walter DIX,Beijing,2008,3,USA,9.91
Justin GATLIN,Athens,2004,1,USA,9.85
Francis OBIKWELU,Athens,2004,2,POR,9.86
Maurice GREENE,Athens,2004,3,USA,9.87
Maurice GREENE,Sydney,2000,1,USA,9.87
Ato BOLDON,Sydney,2000,2,TTO,9.99
Obadele THOMPSON,Sydney,2000,3,BAR,10.04
Donovan BAILEY,Atlanta,1996,1,CAN,9.84
Frank FREDERICKS,Atlanta,1996,2,NAM,9.89
Ato BOLDON,Atlanta,1996,3,TTO,9.9
Linford CHRISTIE,Barcelona,1992,1,GBR,9.96
Frank FREDERICKS,Barcelona,1992,2,NAM,10.02
Dennis MITCHELL,Barcelona,1992,3,USA,10.04
Carl LEWIS,Los Angeles,1984,1,USA,9.99
Sam GRADDY,Los Angeles,1984,2,USA,10.19
Ben JOHNSON,Los Angeles,1984,3,CAN,10.22
Allan WELLS,Moscow,1980,1,GBR,10.25
Silvio LEONARD SARRIA,Moscow,1980,2,CUB,10.25
Peter PETROV,Moscow,1980,3,BUL,10.39
Hasely CRAWFORD,Montreal,1976,1,TTO,10.06
Donald QUARRIE,Montreal,1976,2,JAM,10.08
Valery BORZOV,Montreal,1976,3,URS,10.14
Valery BORZOV,Munich,1972,1,URS,10.14
Robert TAYLOR,Munich,1972,2,USA,10.24
Lennox MILLER,Munich,1972,3,JAM,10.33
Jim HINES,Mexico,1968,1,USA,9.9
Lennox MILLER,Mexico,1968,2,JAM,10
Charlie GREENE,Mexico,1968,3,USA,10
Bob HAYES,Tokyo,1964,1,USA,10
Enrique FIGUEROLA,Tokyo,1964,2,CUB,10.2
Harry JEROME,Tokyo,1964,3,CAN,10.2
Armin HARY,Rome,1960,1,EUA,10.2
Dave SIME,Rome,1960,2,USA,10.2
Peter RADFORD,Rome,1960,3,GBR,10.3
Bobby MORROW,Melbourne / Stockholm,1956,1,USA,10.5
Thane BAKER,Melbourne / Stockholm,1956,2,USA,10.5
Hector HOGAN,Melbourne / Stockholm,1956,3,AUS,10.6
Lindy REMIGINO,Helsinki,1952,1,USA,10.4
Herbert MCKENLEY,Helsinki,1952,2,JAM,10.4
Emmanuel McDONALD BAILEY,Helsinki,1952,3,GBR,10.4
Harrison DILLARD,London,1948,1,USA,10.3
Barney EWELL,London,1948,2,USA,10.4
Lloyd LABEACH,London,1948,3,PAN,10.6
Jesse OWENS,Berlin,1936,1,USA,10.3
Ralph METCALFE,Berlin,1936,2,USA,10.4
Martinus OSENDARP,Berlin,1936,3,NED,10.5
Eddie TOLAN,Los Angeles,1932,1,USA,10.3
Ralph METCALFE,Los Angeles,1932,2,USA,10.3
Arthur JONATH,Los Angeles,1932,3,GER,10.4
Percy WILLIAMS,Amsterdam,1928,1,CAN,10.8
Jack LONDON,Amsterdam,1928,2,GBR,10.9
Georg LAMMERS,Amsterdam,1928,3,GER,10.9
Harold ABRAHAMS,Paris,1924,1,GBR,10.6
Jackson SCHOLZ,Paris,1924,2,USA,10.7
Arthur PORRITT,Paris,1924,3,NZL,10.8
Charles PADDOCK,Antwerp,1920,1,USA,10.8
Morris KIRKSEY,Antwerp,1920,2,USA,10.8
Harry EDWARD,Antwerp,1920,3,GBR,10.9
Ralph CRAIG,Stockholm,1912,1,USA,10.8
Alvah MEYER,Stockholm,1912,2,USA,10.9
Donald LIPPINCOTT,Stockholm,1912,3,USA,10.9
Reggie WALKER,London,1908,1,RSA,10.8
Archie HAHN,St Louis,1904,1,USA,11
Nate CARTMELL,St Louis,1904,2,USA,11.2
William HOGENSON,St Louis,1904,3,USA,11.2
Frank JARVIS,Paris,1900,1,USA,11
Walter TEWKSBURY,Paris,1900,2,USA,11.1
Stanley ROWLEY,Paris,1900,3,AUS,11.2
Thomas BURKE,Athens,1896,1,USA,12
Fritz HOFMANN,Athens,1896,2,GER,12.2
Alajos SZOKOLYI,Athens,1896,3,HUN,12.6
Francis LANE,Athens,1896,3,USA,12.6
